Date,Open,High,Low,Close,Adj Close,Volume
2017-06-07,2325000.000000,2325000.000000,2262000.000000,2265000.000000,2252234.500000,274588
2017-06-08,2250000.000000,2279000.000000,2250000.000000,2258000.000000,2245273.750000,279575
2017-06-09,2284000.000000,2322000.000000,2280000.000000,2305000.000000,2292009.000000,234657
2017-06-12,2271000.000000,2280000.000000,2257000.000000,2269000.000000,2256212.000000,219086
2017-06-13,2257000.000000,2281000.000000,2257000.000000,2270000.000000,2257206.250000,172498
2017-06-14,2290000.000000,2303000.000000,2262000.000000,2268000.000000,2255217.500000,203334
2017-06-15,2284000.000000,2296000.000000,2259000.000000,2284000.000000,2271127.250000,193140
2017-06-16,2275000.000000,2297000.000000,2273000.000000,2279000.000000,2266155.500000,348069
2017-06-19,2279000.000000,2328000.000000,2278000.000000,2328000.000000,2314879.250000,226078
2017-06-20,2362000.000000,2407000.000000,2361000.000000,2407000.000000,2393434.250000,300900
2017-06-21,2387000.000000,2406000.000000,2374000.000000,2374000.000000,2360620.000000,199473
2017-06-22,2398000.000000,2404000.000000,2386000.000000,2398000.000000,2384485.000000,229116
2017-06-23,2380000.000000,2389000.000000,2371000.000000,2381000.000000,2367580.500000,190302
2017-06-26,2376000.000000,2418000.000000,2376000.000000,2414000.000000,2400394.750000,171056
2017-06-27,2411000.000000,2420000.000000,2395000.000000,2415000.000000,2401389.000000,192335
2017-06-28,2380000.000000,2400000.000000,2378000.000000,2385000.000000,2371558.000000,191450
2017-06-29,2402000.000000,2416000.000000,2397000.000000,2397000.000000,2390506.500000,166131
2017-06-30,2375000.000000,2381000.000000,2355000.000000,2377000.000000,2370560.750000,237551
2017-07-03,2375000.000000,2389000.000000,2356000.000000,2361000.000000,2354604.000000,136111
2017-07-04,2358000.000000,2370000.000000,2345000.000000,2350000.000000,2343634.000000,159220
2017-07-05,2341000.000000,2384000.000000,2339000.000000,2379000.000000,2372555.250000,212805
2017-07-06,2400000.000000,2405000.000000,2386000.000000,2403000.000000,2396490.250000,218461
